DATE,HOUR,COAL,FUEL_GAS,SELF_PRODUCER,NUCLEAR,HYDRO,COMBINED_CYCLE,WIND,THERMAL_SOLAR,PHOTOVOLTAIC_SOLAR,RESIDUALS,IMPORT,IMPORT_WITHOUT_MIBEL
01/01/2022,1,900.5,,,6087.5,1614.4,,7061.7,10.0,77.3,3801.9,,3330.0
01/01/2022,2,852.5,,,6089.4,1497.7,,7075.1,10.0,5.2,3777.6,,3330.0
01/01/2022,3,851.5,,,6088.5,1221.1,,7038.7,10.0,5.2,3749.5,,3330.0
01/01/2022,4,851.5,,,6087.5,974.9,,6959.8,10.0,5.2,3657.0,,3145.0
01/01/2022,5,851.5,,,6088.5,971.6,,6794.9,10.0,5.2,3663.6,,3145.0
01/01/2022,6,851.5,,,6087.5,995.6,,6608.6,10.0,5.2,3687.9,,3145.0
01/01/2022,7,851.5,,,6089.4,999.6,,6453.6,10.0,5.3,3691.7,,3145.0
01/01/2022,8,851.5,,,6089.4,1177.4,,6385.2,10.1,29.0,3698.5,,3006.0
01/01/2022,9,851.5,,,6088.5,1221.2,,6303.7,10.4,229.6,3680.2,,3006.0
01/01/2022,10,802.0,,,6089.4,1304.3,,6348.9,12.2,2064.9,3688.6,,2948.7
01/01/2022,11,802.0,,,6088.5,1373.6,,6268.4,102.8,4992.3,3693.2,,1379.3
01/01/2022,12,826.0,,,6089.4,1328.4,,6086.7,557.1,6523.2,3673.3,,1417.7
01/01/2022,13,851.5,,,6087.5,1318.1,,5687.4,804.0,7057.7,3668.0,,2244.6
01/01/2022,14,851.5,,,6087.5,1312.9,,5280.9,862.1,7130.7,3665.2,,3080.2
01/01/2022,15,851.5,,,6084.5,1268.6,,5217.4,919.4,6930.2,3667.2,,2913.0
01/01/2022,16,851.5,,,6085.5,1261.1,,5355.7,1041.3,6131.9,3709.7,,1085.4
01/01/2022,17,851.5,,,6084.5,1714.2,,5706.5,1063.4,4050.7,3821.8,,707.1
01/01/2022,18,930.5,,,6083.5,2053.6,,5927.2,697.6,1244.9,3917.9,,2075.9
01/01/2022,19,1064.4,,,6083.5,3683.1,,6209.1,186.0,188.9,3969.3,,2913.0
