Id,ActivityDay,TotalDistance,TotalActiveHours,SedentaryHours
1624580081,01/05/2016,28,7,17
8877689391,30/04/2016,27,5.85,18.15
1503960366,12/05/2016,0,0,24
1844505072,19/04/2016,0,0.17,23.83
1844505072,20/04/2016,0,0.02,23.98
1844505072,24/04/2016,0,0,24
1844505072,25/04/2016,0,0,24
1844505072,26/04/2016,0,0,24
1844505072,27/04/2016,0,0.02,23.98
1844505072,02/05/2016,0,0,24
1844505072,06/05/2016,0,0.03,23.97
1844505072,07/05/2016,0,0,24
1844505072,08/05/2016,0,0,24
1844505072,09/05/2016,0,0,24
1844505072,10/05/2016,0,0,24
1844505072,11/05/2016,0,0,24
1844505072,12/05/2016,0,0,11.85
1927972279,12/04/2016,0,0.92,12.23
1927972279,13/04/2016,0,0.53,16.43
1927972279,16/04/2016,0,0,24
1927972279,17/04/2016,0,0,24
1927972279,18/04/2016,0,0.28,23.72
1927972279,19/04/2016,0,0,24
1927972279,20/04/2016,0,0,24
1927972279,21/04/2016,0,0,24
1927972279,22/04/2016,0,0.17,23.83
1927972279,25/04/2016,0,0.2,21.72
1927972279,27/04/2016,0,0,24
1927972279,29/04/2016,0,0,24
1927972279,30/04/2016,0,0,24
1927972279,05/05/2016,0,0,24
1927972279,08/05/2016,0,0,24
1927972279,09/05/2016,0,0,24
1927972279,10/05/2016,0,0,24
1927972279,11/05/2016,0,0,24
1927972279,12/05/2016,0,0,16.1
2026352035,10/05/2016,0,0.28,16.7
2347167796,29/04/2016,0,0.07,0.03
3977333714,11/05/2016,0,0.22,0.22
4020332650,13/04/2016,0,0,24
4020332650,14/04/2016,0,0.05,23.95
4020332650,17/04/2016,0,0.03,23.97
4020332650,18/04/2016,0,0.03,23.97
4020332650,19/04/2016,0,0,24
4020332650,20/04/2016,0,0,24
4020332650,21/04/2016,0,0,24
4020332650,22/04/2016,0,0,24
4020332650,23/04/2016,0,0,24
4020332650,24/04/2016,0,0,24
4020332650,25/04/2016,0,0,24
4020332650,26/04/2016,0,0,24
4020332650,27/04/2016,0,0,24
4020332650,28/04/2016,0,0,24
4020332650,29/04/2016,0,0,24
4020332650,30/04/2016,0,0,24
4020332650,01/05/2016,0,0,24
4020332650,02/05/2016,0,0.7,22.5
4020332650,12/05/2016,0,0.35,12.02
4057192912,14/04/2016,0,0,24
4319703577,12/04/2016,0,0,24
4319703577,17/04/2016,0,0.05,22.72
4319703577,21/04/2016,0,0.57,21.08
4319703577,12/05/2016,0,0.03,0
4388161847,12/04/2016,0,0,24
4702921684,01/05/2016,0,0,24
5553957443,17/04/2016,0,0.77,15.72
5577150313,07/05/2016,0,0,24
5577150313,08/05/2016,0,0,24
6117666160,12/04/2016,0,0,24
6117666160,13/04/2016,0,0,24
6117666160,14/04/2016,0,0,24
6117666160,25/04/2016,0,0,24
6117666160,03/05/2016,0,0,24
6290855005,21/04/2016,0,0,24
6290855005,23/04/2016,0,0.55,23.45
6290855005,26/04/2016,0,0,24
6290855005,29/04/2016,0,0,24
6290855005,10/05/2016,0,0,24
6775888955,12/04/2016,0,0,24
6775888955,17/04/2016,1,0.8,23.2
6775888955,19/04/2016,0,0,24
6775888955,21/04/2016,0,0,24
6775888955,22/04/2016,0,0.33,23.67
6775888955,23/04/2016,0,0,24
6775888955,27/04/2016,0,0,24
6775888955,28/04/2016,0,0.5,23.5
6775888955,29/04/2016,0,0,24
6775888955,02/05/2016,0,0,24
6775888955,03/05/2016,0,0.02,23.98
6775888955,04/05/2016,0,0,24
6775888955,05/05/2016,0,0,24
7007744171,04/05/2016,0,0,24
7007744171,07/05/2016,0,0,1.85
7086361926,16/04/2016,0,0.05,23.95
7086361926,17/04/2016,0,0,24
8253242879,30/04/2016,0,0,24
8583815059,16/04/2016,0,0,24
8583815059,17/04/2016,0,0,24
8583815059,02/05/2016,0,0,24
8583815059,03/05/2016,0,0,24
8583815059,04/05/2016,0,0,24
8583815059,12/05/2016,0,0,24
8792009665,16/04/2016,0,0.2,23.8
8792009665,17/04/2016,0,0,24
8792009665,18/04/2016,0,0,24
8792009665,19/04/2016,0,0,24
8792009665,21/04/2016,0,0.15,23.85
8792009665,24/04/2016,0,0.5,23.5
